Ubicazione;Data_avvio_primo_Proc;TipoVia;DescrizioneVia;Civico;Bar;CodiceVia;ZD;durata_attivita_tipo;insegna;numero_addetti;posto_speciale_cf;attivita_prevalente;settore_merceologico;settore_storico_n;settore_storico_preval;settore_storico_s;superficie_vendita
VIA LORENTEGGIO N. 246 (z.d. 6);14/05/2013;VIA ;LORENTEGGIO;246;;5132;6;Permanente;;;;;Non Alimentare;;;;650
VIA BRERA N. 21 (z.d. 1);21/05/2013;VIA ;BRERA;21;;122;1;Permanente;;;;;Non Alimentare;;;;442
CSO DI PORTA NUOVA N. 52 (z.d. 1);21/05/2013;CSO ;DI PORTA NUOVA;52;;1044;1;Permanente;;;;;Non Alimentare;;;;345
VIA SANT' ANDREA N. 15 (z.d. 1);30/05/2013;VIA ;SANT' ANDREA;15;;222;1;Permanente;;;;;Non Alimentare;;;;704
VLE STURZO DON LUIGI al civico n. 20;13/06/2013;VLE ;STURZO DON LUIGI;20;;1704;9;Permanente;;;;;Non Alimentare;;;;299
VIA CUSANI N. 5 (z.d. 1);03/07/2013;VIA ;CUSANI;5;;719;1;Permanente;;;;;Non Alimentare;;;;405
GLL PASSARELLA N. 2 (z.d. 1);09/07/2013;GLL ;PASSARELLA;2;;303;1;Permanente;;;;;Non Alimentare;;;;264
PZA DUCA D'AOSTA interno stazione centrale (z.d. 2);31/07/2013;PZA ;DUCA D'AOSTA;;;1200;2;Permanente;;;;;Non Alimentare;;;;1435
VLE FAMAGOSTA N. 12 (z.d. 6);02/08/2013;VLE ;FAMAGOSTA;12;;5353;6;Permanente;;;;;Non Alimentare;;;;853
VIA LEOPARDI GIACOMO N. 7 (z.d. 1);07/08/2013;VIA ;LEOPARDI GIACOMO;7;;6156;1;Permanente;;;;;Alimentare,Non Alimentare;;;;280
PZA VENTICINQUE APRILE N. 10 (z.d. 9);07/08/2013;PZA ;VENTICINQUE APRILE;10;;1064;9;Permanente;;;;;Alimentare,Non Alimentare;;;;2491
VIA GIULINI GIORGIO N. 2 con ingresso da via dante (z.d. 1);09/08/2013;VIA ;GIULINI GIORGIO;2;;613;1;Permanente;;;;;Non Alimentare;;;;858
PZA DEL LIBERTY N. 2 (z.d. 1);17/09/2013;PZA ;DEL LIBERTY;2;;98;1;Permanente;;;;;Non Alimentare;;;;414
VIA MONTE NAPOLEONE N. 12 (z.d. 1);17/09/2013;VIA ;MONTE NAPOLEONE;12;;219;1;Permanente;;;;;Non Alimentare;;;;545
VIA TORINO N. 29 (z.d. 1);26/09/2013;VIA ;TORINO;29;;543;1;Permanente;;;;;Non Alimentare;;;;2064
VIA TORINO N. 29 (z.d. 1);26/09/2013;VIA ;TORINO;29;;543;1;Permanente;;;;;Non Alimentare;;;;742
PIAZZA GAE AULENTI N. 6 (z.d. 9);27/09/2013;PIAZZA ;GAE AULENTI;6;;1785;9;Permanente;;;;;Non Alimentare;;;;372
VIA LORENTEGGIO N. 246 (z.d. 6);07/10/2013;VIA ;LORENTEGGIO;246;;5132;6;Permanente;;;;;Non Alimentare;;;;730
VIA MONTE NAPOLEONE N. 27 (z.d. 1);12/11/2013;VIA ;MONTE NAPOLEONE;27;;219;1;Permanente;;;;;Non Alimentare;;;;813
VIA LIVIGNO N. 20 (z.d. 9);20/01/2014;VIA ;LIVIGNO;20;;1296;9;Permanente;;;;;Non Alimentare;;;;1009
VIA GESU' N. 2A (z.d. 1);11/02/2014;VIA ;GESU';2;A;227;1;Permanente;;;;;Non Alimentare;;;;591
VIA MANZONI ALESSANDRO N. 26 (z.d. 1);27/02/2014;VIA ;MANZONI ALESSANDRO;26;;230;1;Permanente;;;;;Non Alimentare;;;;347
VIA VERDI GIUSEPPE N. 2 angolo via manzoni (z.d. 1);14/03/2014;VIA ;VERDI GIUSEPPE;2;;118;1;Permanente;;;;;Non Alimentare;;;;598
CSO VITTORIO EMANUELE II N. 24 (z.d. 1);27/03/2014;CSO ;VITTORIO EMANUELE II;24;;214;1;Permanente;;;;;Non Alimentare;;;;675
VIA CAVALLOTTI FELICE N. 13 (z.d. 1);08/04/2014;VIA ;CAVALLOTTI FELICE;13;;312;1;Permanente;;;;;Non Alimentare;;;;397
VIA TORINO N. 47 (z.d. 1);13/05/2014;VIA ;TORINO;47;;543;1;Permanente;;;;;Non Alimentare;;;;705
VLE CERTOSA N. 36 (z.d. 8);21/05/2014;VLE ;CERTOSA;36;;7174;8;Permanente;;;;;Non Alimentare;;;;720
PZA DELLA TRIVULZIANA N. 5 (z.d. 9);28/05/2014;PZA ;DELLA TRIVULZIANA;5;;1765;9;Permanente;;;;;Non Alimentare;;;;1100
VIA GIOVANNI ANSALDO N. 7 (z.d. 9);18/06/2014;VIA ;GIOVANNI ANSALDO;7;;1781;9;Permanente;;;;;Non Alimentare;;;;1213
VIA FRIEDRICH VON HAYEK N. 4 (z.d. 9);18/06/2014;VIA ;FRIEDRICH VON HAYEK;4;;1768;9;Permanente;;;;;Non Alimentare;;;;1370
CSO BUENOS AIRES N. 54 (z.d. 3);02/07/2014;CSO ;BUENOS AIRES;54;;2129;3;Permanente;;;;;Alimentare,Non Alimentare;;;;466
VIA SANT' ANDREA N. 21 (z.d. 1);09/07/2014;VIA ;SANT' ANDREA;21;;222;1;Permanente;;;;;Non Alimentare;;;;312
VIA CHIESE N. 60 (z.d. 9);11/07/2014;VIA ;CHIESE;60;;1627;9;Permanente;;;;;Non Alimentare;;;;1309
VIA SAN RAFFAELE N. 1 (z.d. 1);06/08/2014;VIA ;SAN RAFFAELE;1;;207;1;Permanente;;;;;Non Alimentare;;;;2385
VIA CAGLIERO GIOVANNI N. 14A (z.d. 2);06/08/2014;VIA ;CAGLIERO GIOVANNI;14;A;1407;2;Permanente;;;;;Alimentare,Non Alimentare;;;;827
VIA TORINO N. 21 (z.d. 1);07/08/2014;VIA ;TORINO;21;;543;1;Permanente;;;;;Non Alimentare;;;;358
PIAZZA GAE AULENTI N. 4 (z.d. 9);16/09/2014;PIAZZA ;GAE AULENTI;4;;1785;9;Permanente;;;;;Non Alimentare;;;;658
VLE MURILLO S.B. N. 5 (z.d. 7);17/09/2014;VLE ;MURILLO S.B.;5;;6551;7;Permanente;;;;;Alimentare,Non Alimentare;;;;815
VIA BOSCOVICH RUGGERO N. 18 (z.d. 2);22/09/2014;VIA ;BOSCOVICH RUGGERO;18;;2131;2;Permanente;;;;;Alimentare,Non Alimentare;;;;410
VIA DANTE ALIGHIERI N. 7 (z.d. 1);30/09/2014;VIA ;DANTE ALIGHIERI;7;;612;1;Permanente;;;;;Non Alimentare;;;;566
VIA FOSCOLO UGO N. 3 (z.d. 1);02/10/2014;VIA ;FOSCOLO UGO;3;;205;1;Permanente;;;;;Alimentare,Non Alimentare,Tabella speciale Monopolio;;;;1914
CSO VERCELLI N. 37 (z.d. 7);06/10/2014;CSO ;VERCELLI;37;;6193;7;Permanente;;;;;Non Alimentare;;;;353
LGO DOMODOSSOLA N. 1A (z.d. 8);07/10/2014;LGO ;DOMODOSSOLA;1;A;6140;8;Permanente;;;;;Non Alimentare,Alimentare,;;;;14848
PIAZZA GAE AULENTI N. 6 (z.d. 9);20/10/2014;PIAZZA ;GAE AULENTI;6;;1785;9;Permanente;;;;;Non Alimentare;;;;305
VIA ORNATO LUIGI N. 169 angolo via del regno italico (z.d. 9);23/10/2014;VIA ;ORNATO LUIGI;169;;1591;9;Permanente;;;;;Alimentare,Non Alimentare;;;;4172
VIA NERINO N. 15 (z.d. 1);31/10/2014;VIA ;NERINO;15;;564;1;Permanente;;;;;Non Alimentare;;;;386
VIA FOSCOLO UGO N. 3 (z.d. 1);02/12/2014;VIA ;FOSCOLO UGO;3;;205;1;Permanente;;;;;Non Alimentare;;;;950
VIA SAN PROSPERO N. 1 (z.d. 1);05/12/2014;VIA ;SAN PROSPERO;1;;721;1;Permanente;;;;;Non Alimentare;;;;500
VIA MERAVIGLI N. 2 (z.d. 1);12/12/2014;VIA ;MERAVIGLI;2;;614;1;Permanente;;;;;Non Alimentare;;;;334
PZA DUCA D'AOSTA interno stazione centrale;16/12/2014;PZA ;DUCA D'AOSTA;;;1200;2;Permanente;;;;;Alimentare,Non Alimentare;;;;725
GLL UNIONE N. 4 ,gll unione 004, isolato:470, accesso: accesso esterno, (z.d. 1);02/03/1994;GLL ;UNIONE;4;;510;1;;;;;;;;gioielleria - orologeria;xiv sub 12;366
VIA MONTE NAPOLEONE N. 20 ,via monte napoleone 020/4, isolato:258, accesso: accesso esterno, (z.d. 1);28/06/1991;VIA ;MONTE NAPOLEONE;20;;219;1;;salvatore ferragamo;;;;Non Alimentare;;boutique;xiv prodotti per la persona,x,ix;263
VIA MONTE NAPOLEONE N. 3 ,via monte napoleone 003, isolato:315, accesso: accesso esterno, (z.d. 1);26/04/1993;VIA ;MONTE NAPOLEONE;3;;219;1;;;;;;Non Alimentare;;abbigliamento;settore non alimentare;469
GLL SAN CARLO N. 6 ,gll san carlo 006, isolato:360, accesso: accesso esterno, (z.d. 1);24/06/1997;GLL ;SAN CARLO;6;;302;1;Permanente;;;;;Non Alimentare;"articoli di abbigliamento e accessori, pellicceria, calzature e articoli in cuoio. 
";abbigliamento donna;settore non alimentare;322
VIA VALLAZZE N. 108 , isolato:058, accesso: accesso esterno, (z.d. 3);29/09/1997;VIA ;VALLAZZE;108;;2250;3;Permanente;penny market;;;;Alimentare,Non Alimentare;",,,,: audiovisivi - combustibili solidi e liquidi 
";discount alimentare;xiv prodotti per la persona,xiv prodotti per la casa,vii,xiv prod. sport e tempo libero,xiv prodotti vari;513
PZA DEL LIBERTY N. 2 ,pza del liberty 002, isolato:361, accesso: accesso esterno, (z.d. 1);29/06/2000;PZA ;DEL LIBERTY;2;;98;1;Permanente;marella;;;;Non Alimentare;"(con esclusione di quei prodotti per i quali e' previsto per legge specifico diploma) attivita' prevalente: abbigliamento femminile, calzature, pelletteria ed accessori 
";abbigliamento donna;settore non alimentare;389
PZA OBERDAN GUGLIELMO num.002/a, isolato:152, (z.d. 1);08/09/2005;PZA;OBERDAN GUGLIELMO;2;A;2108;1;Permanente;;;;;Non Alimentare;"abbigliamento e accessori 
";abbigliamento;settore non alimentare;351
VIA FOSCOLO UGO N. 8 ,via foscolo ugo 008, isolato:415, accesso: accesso esterno, (z.d. 1);09/12/2005;VIA ;FOSCOLO UGO;8;;205;1;Permanente;;;;;Non Alimentare;"abbigliamento, articoli e accessori di abbigliamento, biancheria intima, calzature e pelletteria, profumeria, oggettistica. 
";abbigliamento;settore non alimentare;350
GLL SAN BABILA num.004/c, isolato:264, accesso: accesso esterno, (z.d. 1);03/06/1999;GLL ;SAN BABILA;4;C;360;1;;vannucci;;;;non alimentare;"attivita' prevalente: abbigliamento uomo donna 
";abbigliamento;settore non alimentare;380
CSO MAGENTA N. 13 ,cso magenta 013, isolato:343, accesso: accesso esterno, (z.d. 1);01/01/2000;CSO ;MAGENTA;13;;604;1;;bardelli;;;;non alimentare;;abbigliamento uomo;xiv sub 56,xiv sub 19,ix (cont.antec. d.m. 375/88),x,xiv sub 55;747
GLL SAN BABILA num.004/a, isolato:264, accesso: accesso esterno, (z.d. 1);23/11/1992;GLL ;SAN BABILA;4;A;360;1;;smart;;;;non alimentare;;abbigliamento uomo;xiv prodotti per la persona,x,ix;450
VIA AGNELLO N. 2 ,via agnello 002, isolato:385, accesso: accesso esterno, (z.d. 1);01/01/1988;VIA ;AGNELLO;2;;209;1;;celio;;;;non alimentare;;abbigliamento uomo;xiv sub 55,xi (cont.ant. d.m. 375/88),xiv sub 2,xiv sub 18,xiv sub 6,x,xiv sub 19;320
VIA PASSARELLA N. 4 ,gll passarella 004*, isolato:386, accesso: accesso esterno, (z.d. 1);11/01/1989;VIA ;PASSARELLA;4;;298;1;;caractere;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";abbigliamento;settore non alimentare;300
VIA DURINI N. 28 ,via durini 028, isolato:318, accesso: accesso esterno, (z.d. 1);08/05/1995;VIA ;DURINI;28;;313;1;Permanente;boggi;;;;Non Alimentare,Alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";abbigliamento;settore non alimentare;2368
VIA TORINO N. 19 ,via torino 019, isolato:446, accesso: accesso esterno, (z.d. 1);12/11/1996;VIA ;TORINO;19;;543;1;;energia;;;;non alimentare;;abbigliamento;settore non alimentare;550
VIA LENTASIO N. 1 ,via lentasio 001, isolato:270, accesso: accesso esterno, (z.d. 1);22/05/1990;VIA ;LENTASIO;1;;410;1;;;;;;non alimentare;;abbigliamento;ix,x;355
VIA PLANA GIOVANNI ANTONIO N. 38 allo sportello in distribuz, isolato:325, accesso: accesso esterno, (z.d. 8);25/05/1987;VIA ;PLANA GIOVANNI ANTONIO;38;;7177;8;;;;;;non alimentare;;abbigliamento;settore non alimentare;433
CSO VENEZIA N. 15 ,cso venezia 015, isolato:189, accesso: accesso esterno, (z.d. 1);21/09/2000;CSO ;VENEZIA;15;;238;1;;d E g.;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente_:abbigliamento 
";abbigliamento;settore non alimentare;713
VIA DANTE ALIGHIERI N. 7 ,via dante alighieri 007, isolato:375, accesso: accesso esterno, (z.d. 1);20/04/1996;VIA ;DANTE ALIGHIERI;7;;612;1;;max E co.;;;;non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";abbigliamento donna;settore non alimentare;270
VIA DOGANA N. 4 ,via mazzini giuseppe 002, isolato:447, accesso: accesso esterno, (z.d. 1);26/06/1998;VIA ;DOGANA;4;;341;1;;sisley;;;;non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente vendita capi d'abbigliamento ed accessori loro pertinenti
";abbigliamento;settore non alimentare;1076
PZA DEL DUOMO N. 31 ,cso vittorio emanuele ii 001, isolato:419, accesso: accesso esterno, (z.d. 1);20/12/1988;PZA ;DEL DUOMO;31;;1;1;;;;;;alimentare,non alimentare;"abbigliamento e relativi accessori, alimentari confezionati 
";abbigliamento;settore alimentare/non aliment;757
VIA SANT' ANDREA N. 5 ,via sant' andrea 005, isolato:260, accesso: accesso esterno, (z.d. 1);23/10/1990;VIA ;SANT' ANDREA;5;;222;1;;;;;;non alimentare;;abbigliamento donna;settore non alimentare;331
VIA SANTA TECLA N. 5 ,via santa tecla 005, isolato:389, accesso: accesso esterno, (z.d. 1);02/03/1993;VIA ;SANTA TECLA;5;;321;1;;il libraccio;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";libreria;settore non alimentare;260
CSO BUENOS AIRES N. 36 , isolato:079, accesso: accesso esterno, (z.d. 3);08/04/1991;CSO ;BUENOS AIRES;36;;2129;3;;muji;;;;non alimentare;"articoli per la casa, l'ufficio, abbigliamento, ecc. 
";casalinghi;settore non alimentare;505
VIA SAN GREGORIO N. 48 , isolato:069, accesso: accesso esterno, (z.d. 2);16/09/1988;VIA ;SAN GREGORIO;48;;2123;2;;;;;;non alimentare;;tessuti per abbigliamento;xiv sub 56,xiv sub 55,ix,x;300
VIA MEDA GIUSEPPE N. 16 , isolato:160, accesso: accesso esterno, (z.d. 5);01/01/1989;VIA ;MEDA GIUSEPPE;16;;5242;5;;cai;;;;non alimentare;"adeguamento 
,";abbigliamento uomo;ix,x;294
CSO VERCELLI N. 16 , isolato:216, accesso: accesso esterno, (z.d. 7);01/01/2000;CSO ;VERCELLI;16;;6193;7;;;;;;non alimentare;;abbigliamento;xiv sub 55,x,xiv sub 56,xi (cont.ant. d.m. 375/88),ix (cont.antec. d.m. 375/88);582
VIA MARGHERA N. 36 , isolato:212, accesso: accesso esterno, (z.d. 7);01/04/1989;VIA ;MARGHERA;36;;6280;7;;;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";drogheria;settore alimentare/non aliment;314
VIA ARBE N. 47 interno superspacci alimentari, isolato:086, accesso: accesso esterno, (z.d. 2);02/11/1992;VIA ;ARBE;47;;1352;2;;il mercatino di via arbe;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";minimercati;settore alimentare/non aliment;256
VIA DELLE ORCHIDEE N. 4 interno superspacci alimentari, isolato:035, accesso: accesso esterno, (z.d. 6);03/09/1997;VIA ;DELLE ORCHIDEE;4;;6717;6;;di per di;;;;alimentare,non alimentare;"(con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;280
VIA PARAVIA PIER ALESSANDRO N. 77 , isolato:241, accesso: accesso esterno, (z.d. 7);08/02/1994;VIA ;PARAVIA PIER ALESSANDRO;77;;6571;7;;di per di;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: commercio al dettaglio generi alimentari
";supermercato alimentare;settore alimentare/non aliment;382
VIA VAL DI BONDO N. 15 aff. az. tacit. rinnov., isolato:031, accesso: accesso esterno, (z.d. 9);16/07/1990;VIA ;VAL DI BONDO;15;;1648;9;;punto sma;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto per legge uno specificodiploma) 
 (con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente:vendita al dettaglio di generi alimentari e non 
 (con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita al dettaglio di generi alimentari e non 
 (con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita al dettaglio di generi alimentari e non 
 (con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita al dettaglio di generi alimentari e non 
 (con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita al dettaglio di generi alimentari e non 
 @ prodotti alimentari, per l'igiene della casa e per la persona 
";minimercati;settore alimentare/non aliment;295
VIA CONCA DEL NAVIGLIO N. 37 , isolato:128, accesso: accesso esterno, (z.d. 1);08/11/1990;VIA ;CONCA DEL NAVIGLIO;37;;5180;1;;di per di;;;;alimentare,non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";supermercato alimentare;settore alimentare/non aliment;440
VIA LOMBROSO CESARE N. 54 interno merc.ingros.ortofrutt., isolato:091, accesso: accesso esterno, (z.d. 4);01/01/2000;VIA ;LOMBROSO CESARE;54;;3334;4;;;;interno mercato ortofrutticolo;;alimentare,non alimentare;;pasticceria - gelateria;xiv sub 50,vii (cont.antec. d.m. 27/6/86);800
VIA SOLARI ANDREA N. 6 , isolato:019, accesso: accesso esterno, (z.d. 6);24/10/1997;VIA ;SOLARI ANDREA;6;;5111;6;;salvini;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";minimercati;settore alimentare/non aliment;360
VIA MONCALIERI N. 15 , isolato:128, accesso: accesso esterno, (z.d. 9);05/03/1997;VIA ;MONCALIERI;15;;1095;9;;oviesse;;;;non alimentare;"abbigliamento uomo, donna, bambini, intimo, accessori, tessile casa 
";grande magazzino senza alimen.;settore non alimentare;870
VIA VENINI GIULIO E CORRADO N. 37 aff. az. tacit. rinnov., isolato:342, accesso: accesso esterno, (z.d. 2);16/08/1988;VIA ;VENINI GIULIO E CORRADO;37;;2258;2;;punto sma;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: supermercato 
";minimercati;settore alimentare/non aliment;320
VIA POERIO CARLO N. 3 , isolato:175, accesso: accesso esterno, (z.d. 3);01/01/1988;VIA ;POERIO CARLO;3;;3181;3;;m.c. selvini;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: arredamento 
";mobili;settore non alimentare;508
